artist,author,gernes,heart,name,star,view,words
Mishima Kurone 三嶋くろね,AKATSUKI Natsume 暁なつめ,"Action,Adventure,Comedy,Ecchi,Isekai,Magic,Supernatural", 223 ,"Zoku, Kono Subarashii Sekai ni Bakuen wo!",5,67768,80058
雲屋ゆきお / Kumoya Yukio,月神サキ / Tsukigami Saki,"Comedy,Drama,Fantasy,Romance,Shoujo,Slice of Life,Otome Game,Web Novel", 391 ,"Vì không muốn làm một Nữ phản diện, tôi sẽ cố gắng trở thành một Cô gái Hoàn hảo dành cho Hoàng tử!",5,80854,33099
Kozou,Mizokami Ryou/ Suisei,"Action,Comedy,Fantasy,Romance,Seinen,Harem", 180 ,Yami Guild no Master wa kyou mo hohoemu,4.9,11458,3213
Booota,Aya Hazuki,"Drama,Romance,School Life", 128 ,"Hello, Hello and Hello",5,13520,2207
vient,Mutsuhana Eiko; 六つ花 えいこ,"Comedy,Fantasy,Romance,Slice of Life", 123 ,I am a Witch Requested by My Crush to Make Love Potion,4.7,13220,4645
N/A,のの原兎太,"Fantasy,Comedy,Romance,Seinen,Slice of Life", 233 ,The Last Surviving Alchemist,4.9,35015,53063
N/A,Trương Dương Đích Ngũ Nguyệt (张扬的五月),"Adventure,Chinese Novel,Comedy,Game", 43 ,Kẻ ngược đời trong thế giới game.,3.4,18072,33338
Kurodeko,Haiaka,"Drama,Fantasy,Isekai,Magic,Romance,Shoujo", 580 ,Akuyaku Reijou wa Danna-sama wo Yasesasetai,4.8,120422,41744
盘古混沌,盘古混沌,"Action,Drama,Fantasy,Harem,Horror,Magic,Super Power,Supernatural,Web Novel,Mystery,Adventure,Chinese Novel", 224 ,"My Daughter, My Angel",4.7,80068,107693
Hamaken,Anda Sadanatsu,"Comedy,Ecchi,Harem,Romance,School Life,Slice of Life", 410 ,15 sai demo Ore no Yome!,4.9,47875,5006
Iida Pochi,Inaka Dachima,"Ecchi,Fantasy,Game,Harem,Isekai,Romance", 263 ,Cưng có yêu bà mẹ mà đòn đánh thường là nhất kích đánh hai toàn thể không?,5,41165,72592
N/A,Reiko Minami,"Harem,Josei,Romance,Comedy,Drama,Mature", 162 ,Onnagirai Koushaku wa Tada Hitori no Reijou ni nomi Yokujou Suru,4.5,42464,28142
N/A,"Sadoyeon,사도연","Action,Adventure,Fantasy,Korean Novel", 66 ,Second Life Ranker,4.6,16262,9599
Eihi,Hidari Ryuu,"Action,Adventure,Fantasy,Magic,Romance,School Life,Web Novel", 788 ,Kuro no Seiken Tsukai,4.7,131365,38908
bob,ホー,"Action,Adventure,Comedy,Drama,Fantasy,Harem,Shounen,Super Power", 299 ,Wortenia senki,4.9,66259,27819
Sakano Keiko,Nakamura Shuri,"Fantasy,Romance,Shoujo", 204 ,Mahoutsukai no Konyakusha,4.8,31141,22704
Yano Mitsuki,Ginyoku Nozomi,"Action,Adventure,Comedy,Ecchi,Shounen", 546 ,Behemoth's Pet,4.9,81248,23320
Nagahama Megumi,Takami Ryousen,"Action,Fantasy,Harem,Seinen", 191 ,Almadianos Eiyuuden,4.8,25391,21776
Mid,Tsuda Houkou,"Action,Adventure,Comedy,Drama,Fantasy,Romance,Web Novel", 188 ,Yarukinashi Eiyuutan,4.3,15570,4551
Koin,Yuumikan,"Action,Adventure,Comedy,Fantasy,Science Fiction,Slice of Life", 562 ,Itai no wa Iya nanode Bougyo-Ryoku ni Kyokufuri Shitai to Omoimasu,4.8,138515,56443
BUNBUN,TAKEDZUKI Jou,"Action,Ecchi,Fantasy,Harem,Martial Arts,Mecha,Romance,Super Power,Supernatural", 278 ,Chronicle Legion – The Road of Conquest,4.5,33527,29566
N/A,Kataoka Naotaro,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Slice of Life,Tragedy,Web Novel", 366 ,REINCARNATION INTO THE BARRIER MASTER,4.5,42344,11892
shimano,Ko Hiratori,"Adult,Comedy,Isekai,One shot", 350 ,JK Haru wa Isekai de Shoufu ni Natta,4.5,73231,13420
